iter	Passed	Remaining
729	68339	25276
730	68482	25200
731	68652	25134
732	68796	25059
733	68919	24976
734	69025	24886
735	69144	24801
736	69265	24717
737	69361	24624
738	69463	24532
739	69604	24455
740	69708	24365
741	69813	24274
742	69923	24186
743	70056	24105
744	70154	24012
745	70251	23919
746	70368	23833
747	70509	23754
748	70635	23671
749	70716	23572
750	70825	23482
751	70959	23401
752	71132	23332
753	71272	23253
754	71362	23157
755	71454	23062
756	71548	22967
757	71650	22875
758	71749	22782
759	71849	22689
760	71949	22596
761	72051	22504
762	72145	22409
763	72235	22313
764	72337	22221
765	72445	22130
766	72540	22036
767	72650	21946
768	72759	21856
769	72853	21761
770	72964	21671
771	73065	21578
772	73186	21492
773	73279	21396
774	73452	21324
775	73548	21230
776	73654	21139
777	73780	21052
778	73843	20949
779	73914	20847
780	73997	20749
781	74234	20694
782	74350	20605
783	74490	20522
784	74581	20426
785	74708	20340
786	74826	20251
787	74948	20163
788	75070	20075
789	75173	19982
790	75297	19895
791	75388	19798
792	75536	19717
793	75743	19651
794	75897	19570
795	76004	19478
796	76092	19381
797	76177	19283
798	76255	19183
799	76344	19086
800	76437	18990
801	76525	18892
802	76642	18802
803	76814	18725
804	76931	18635
805	77005	18534
806	77116	18442
807	77207	18346
808	77379	18268
809	77579	18197
810	77724	18113
811	77875	18030
812	78001	17941
813	78140	17855
814	78239	17759
815	78359	17669
816	78514	17586
817	78615	17491
818	78691	17390
819	78770	17291
820	78881	17198
821	78972	17101
822	79088	17009
823	79206	16917
824	79323	16826
825	79432	16732
826	79552	16641
827	79662	16548
828	79758	16451
829	79870	16359
830	79960	16261
831	80069	16167
832	80174	16073
833	80323	15987
834	80515	15910
835	80670	15825
836	80801	15735
837	80944	15648
838	81040	15551
839	81133	15453
840	81241	15359
841	81342	15263
842	81475	15174
843	81573	15077
844	81695	14985
845	81812	14892
846	81918	14797
847	82028	14703
848	82127	14606
849	82223	14510
850	82338	14416
851	82455	14323
852	82598	14234
853	82816	14158
854	82967	14070
855	83054	13971
856	83179	13879
857	83287	13784
858	83419	13692
859	83519	13596
860	83631	13501
861	83765	13410
862	83895	13318
863	83996	13221
864	84088	13123
865	84188	13026
866	84301	12932
867	84410	12836
868	84515	12740
869	84638	12647
870	84738	12550
871	84848	12454
872	84942	12356
873	85165	12277
874	85301	12185
875	85397	12088
876	85501	11991
877	85622	11897
878	85722	11800
879	85819	11702
880	85936	11607
881	86033	11510
882	86130	11412
883	86232	11315
884	86334	11218
885	86464	11125
886	86564	11028
887	86665	10930
888	86763	10833
889	86856	10735
890	86950	10637
891	87031	10537
892	87112	10437
893	87192	10338
894	87274	10238
895	87396	10144
896	87595	10058
897	87712	9962
898	87830	9867
899	87932	9770
900	88048	9674
901	88161	9578
902	88266	9481
903	88352	9382
904	88469	9286
905	88566	9189
906	88670	9091
907	88790	8996
908	88903	8900
909	88998	8802
910	89080	8702
911	89170	8604
912	89266	8506
913	89345	8406
914	89488	8313
915	89609	8217
916	89718	8120
917	89931	8033
918	90039	7936
919	90137	7838
920	90250	7741
921	90358	7644
922	90469	7547
923	90573	7449
924	90668	7351
925	90774	7254
926	90894	7157
927	90998	7060
928	91094	6962
929	91184	6863
930	91287	6765
931	91397	6668
932	91509	6571
933	91607	6473
934	91718	6376
935	91841	6279
936	91945	6182
937	92030	6083
938	92209	5990
939	92395	5897
940	92484	5798
941	92604	5701
942	92733	5605
943	92850	5508
944	92955	5410
945	93063	5312
946	93155	5213
947	93251	5115
948	93364	5017
949	93469	4919
950	93587	4822
951	93713	4725
952	93823	4627
953	93921	4528
954	94066	4432
955	94169	4334
956	94288	4236
957	94402	4138
958	94509	4040
959	94707	3946
960	94861	3849
961	94934	3749
962	95002	3650
963	95094	3551
964	95190	3452
965	95271	3353
966	95381	3255
967	95493	3156
968	95606	3058
969	95705	2959
970	95823	2861
971	95945	2763
972	96029	2664
973	96131	2566
974	96226	2467
975	96322	2368
976	96430	2270
977	96549	2171
978	96649	2073
979	96744	1974
980	96842	1875
981	96993	1777
982	97236	1681
983	97331	1582
984	97472	1484
985	97582	1385
986	97652	1286
987	97706	1186
988	97805	1087
989	97924	989
990	98024	890
991	98118	791
992	98208	692
993	98302	593
994	98393	494
995	98516	395
996	98619	296
997	98755	197
998	98852	98
999	98941	0
