trip_id,personal_mae,personal_rmse,personal_mbe,personal_stddev,personal_count,global_mae,global_rmse,global_mbe,global_stddev,global_count,segment_count,avg_gt_soc_delta,mae_improvement
32c4d4ca-e605-5f69-a75e-b970f637218a,0.5535,0.7126,0.0615,0.7446,11.0,0.7033,0.8502,-0.3206,0.8258,11.0,11.0,3.5636,0.1498
33624d39-f6a9-58ea-b284-a565d302b6d1,0.794,0.8855,-0.0662,1.0197,4.0,1.1186,1.3096,1.1186,0.7864,4.0,4.0,4.75,0.3245
34288a27-ac59-5f75-9c98-14779f26e88a,0.3256,0.3763,-0.0594,0.407,6.0,0.3096,0.3817,-0.1889,0.3634,6.0,6.0,1.3667,-0.0159
34803e1c-d382-58c3-883b-6d1b4de97ca6,1.5477,2.2003,0.2421,2.3957,6.0,1.4264,1.8741,-0.1559,2.0458,6.0,6.0,4.7333,-0.1214
365991e8-e098-5ead-8a3a-52711c6e8845,0.9934,1.5732,-0.1009,1.6784,8.0,0.9609,1.4775,-0.3929,1.5227,8.0,8.0,3.3625,-0.0325
3686a011-f0eb-54db-b35b-53df41dbaba3,0.9269,1.1049,0.1154,1.2038,6.0,0.7187,0.8604,-0.0449,0.9413,6.0,6.0,3.0667,-0.2081
3760693b-4ebc-5ad3-af4c-e8627825bc40,0.5869,0.7506,-0.0762,0.8622,4.0,0.4472,0.6669,-0.2772,0.7004,4.0,4.0,2.025,-0.1398
38194088-fd48-5cb8-9c75-ff4acf4e6e4a,0.6618,0.7547,0.1095,0.8622,4.0,1.2293,1.3731,-1.2293,0.7065,4.0,4.0,0.575,0.5674
39e72d2f-094b-5ed5-b04d-475aa295abc5,1.5788,2.0813,-0.082,2.3251,5.0,1.2427,1.617,-0.107,1.8039,5.0,5.0,2.14,-0.3361
3bea3f6d-cdcb-53b7-aea0-b45abaa48e8b,1.1276,1.2016,-0.145,1.3773,4.0,0.8224,0.938,0.3355,1.0115,4.0,4.0,3.525,-0.3052
3bfabf79-e7d7-52f3-ad44-b6610d93ea50,0.4319,0.636,-0.0016,0.6746,9.0,0.6801,0.7608,-0.5051,0.6034,9.0,9.0,3.0111,0.2482
3c20c93c-d9a3-57e1-bd52-89c3f9a025c1,1.119,1.413,0.1246,1.6252,4.0,1.3748,1.815,1.3748,1.3684,4.0,4.0,5.675,0.2558
3caecc36-617c-5da5-afab-a4ee2a4ba049,0.5329,0.566,0.0449,0.6515,4.0,1.012,1.1073,-1.012,0.5189,4.0,4.0,0.45,0.4792
3d3e1e00-57db-5b27-bff9-20d8c96010c3,0.6434,0.7222,0.0078,0.8074,5.0,0.5704,0.596,-0.0754,0.661,5.0,5.0,1.08,-0.0729
3d771ead-d592-58cd-86c4-ec02ae1a2661,0.543,0.5874,-0.1039,0.6463,5.0,0.5382,0.6565,-0.4171,0.5668,5.0,5.0,4.52,-0.0048
3dac0f97-e05b-56b0-89b4-54c2639bf46f,0.2392,0.3196,-0.0339,0.3553,5.0,0.3272,0.4077,-0.3272,0.2719,5.0,5.0,1.06,0.0881
3e6a8133-d624-526f-93f3-93ff254d86d0,0.3345,0.3786,0.0819,0.4133,5.0,0.2688,0.3717,0.1965,0.3528,5.0,5.0,2.94,-0.0657
3e7841b3-3864-5684-8be0-0d61782c4616,1.2816,1.4443,-0.0579,1.5588,7.0,0.9634,1.2238,-0.3735,1.2588,7.0,7.0,2.2143,-0.3182
3eae7590-d9ae-5a92-b3f3-288e4e57b9fa,1.0294,1.0359,0.1043,1.1522,5.0,0.8441,0.8873,-0.0787,0.9881,5.0,5.0,4.42,-0.1853
3f13d75e-3e4a-5e13-971d-67e197a9b59c,0.5354,0.6447,-0.0846,0.7001,6.0,0.4604,0.4979,0.0708,0.5399,6.0,6.0,4.1167,-0.075
3f38263e-4691-522a-b8f0-2c5e10b5e605,0.5353,0.6033,-0.0757,0.6691,5.0,0.8928,1.0531,0.8928,0.6244,5.0,5.0,2.26,0.3575
